  -1.6400590e+02   7.1671774e+01  -1.7929620e+00  -1.1947632e+01
  -1.6403228e+02   7.1655818e+01  -5.1681861e+00  -1.2043903e+01
  -1.6405865e+02   7.1639862e+01  -4.3806345e+00  -1.2318288e+01
  -1.6408499e+02   7.1623906e+01  -4.6368978e+00  -1.2217973e+01
  -1.6411131e+02   7.1607950e+01  -5.1499456e+00  -1.0911936e+01
  -1.6413761e+02   7.1591994e+01  -4.6573976e+00  -9.9747352e+00
  -1.6416388e+02   7.1576038e+01  -4.4760290e+00  -9.5790489e+00
  -1.6419014e+02   7.1560082e+01  -2.7255977e+00  -9.0685248e+00
  -1.6421637e+02   7.1544126e+01  -1.8631354e+00  -8.1214120e+00
  -1.6424255e+02   7.1528170e+01   9.9475428e-01  -7.8953850e+00
  -1.6426872e+02   7.1512214e+01   2.7625884e+00  -9.2573481e+00
  -1.6429489e+02   7.1496258e+01   3.3157739e+00  -9.4229491e+00
  -1.6432106e+02   7.1480302e+01   4.6109226e+00  -1.0700420e+01
  -1.6434721e+02   7.1464347e+01   6.2652944e+00  -1.0901534e+01
  -1.6437332e+02   7.1448391e+01   6.1868253e+00  -1.0798087e+01
  -1.6439940e+02   7.1432435e+01   5.1444131e+00  -1.0162218e+01
  -1.6442546e+02   7.1416479e+01   7.1322112e+00  -9.9993829e+00
  -1.6445150e+02   7.1400524e+01   5.5821826e+00  -1.0103473e+01
  -1.6447751e+02   7.1384568e+01   6.9602149e+00  -1.1075287e+01
  -1.6450351e+02   7.1368612e+01   6.7686423e+00  -1.0232275e+01
  -1.6452948e+02   7.1352656e+01   6.8076421e+00  -1.0406020e+01
  -1.6455544e+02   7.1336701e+01   8.1807972e+00  -1.0926972e+01
  -1.6458137e+02   7.1320745e+01   9.6149998e+00  -1.1440245e+01
  -1.6460728e+02   7.1304789e+01   7.5525364e+00  -9.8359268e+00
  -1.6463317e+02   7.1288834e+01   6.3497842e+00  -9.9250608e+00
  -1.6465904e+02   7.1272878e+01   6.0991538e+00  -9.0073337e+00
